Rank,Nome,SMILES,Score_Final,CNS_MPO,BBB_Cat,MW,LogP,TPSA,HBD,HBA,Multi_Target,N_Sistemas,Sistemas,Max_Anti_Sim,N_Alertas,Estrategia
341,NZK2a_quinuclidinona_etil_carbonil_triazolpiperazina,O=C(CC1CN2CCC1CC2=O)c1nn[nH]c1N1CCNCC1,0.5196,5.36,BAIXA,318.2,-0.34,94.2,2,6,0.1237,0,,0.127,0,core_piperazina
342,NZK2a_quinuclidinona_etil_sulfonamida_pyrimidilpiperazina,O=C1CC2CCN1CC2CS(=O)(=O)Nc1cnc(N2CCNCC2)nc1,0.5174,4.77,BAIXA,380.2,-0.5,107.5,2,7,0.1271,1,serotoninergico,0.104,0,core_piperazina
343,NZK2b_3OH_quinuclidina_etil_sulfonamida_oxazol,O=S(=O)(CC1CN2CCC1CC2O)Nc1cocn1,0.5161,5.31,BAIXA,287.1,0.08,95.7,2,6,0.1164,0,,0.125,0,core_imidazol
344,NZK2c_fenilpiperazina_propileno_benzotiofeno,c1ccc(N2CCNCC2CCCc2ccc3sccc3c2)cc1,0.5161,3.53,ALTA,336.2,4.7,15.3,1,3,0.1138,0,,0.118,0,pip_heterociclo
345,NZK2a_azanorbornano_butileno_fenilpiperazina,c1cc(N2CCNCC2)ccc1CCCCN1CC2CCC1C2,0.5152,5.26,ALTA,313.3,2.9,18.5,1,3,0.1127,1,serotoninergico,0.128,1,core_piperazina
346,NZK2a_3OH_quinuclidina_etil_amida_fenilpiperazina,O=C(CC1CN2CCC1CC2O)Nc1ccc(N2CCNCC2)cc1,0.5141,5.0,ALTA,344.2,1.09,67.8,3,5,0.1431,1,serotoninergico,0.139,1,core_piperazina
347,NZK2c_fenilpiperazina_butileno_benzotiofeno,c1ccc(N2CCNCC2CCCCc2ccc3sccc3c2)cc1,0.5107,3.38,ALTA,350.2,5.09,15.3,1,3,0.1123,0,,0.129,0,pip_heterociclo
348,NZK2a_quinuclidinona_etil_sulfonamida_benzisoxazolpip,O=C1CC2CCN1CC2CS(=O)(=O)Nc1ccc2onc(N3CCNCC3)c2c1,0.5095,4.48,BAIXA,419.2,0.85,107.8,2,7,0.1341,1,serotoninergico,0.131,0,core_piperazina
349,NZK2a_quinuclidinona_etil_sulfonamida_indolpiperazina,O=C1CC2CCN1CC2CS(=O)(=O)Nc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.5095,4.14,MÉDIA,445.2,1.23,97.5,3,5,0.1259,0,,0.126,0,core_piperazina
350,NZK2a_3OH_quinuclidina_etil_eter_sulfonamidapip,O=S(=O)(NCOCC1CN2CCC1CC2O)c1ccc(N2CCNCC2)cc1,0.5093,4.5,BAIXA,410.2,0.01,94.1,3,7,0.1304,1,serotoninergico,0.115,0,core_piperazina
351,NZK2a_3OH_quinuclidina_propil_amina_fenilpiperazina,OC1CC2CCN1CC2CCCNc1ccc(N2CCNCC2)cc1,0.5092,5.0,ALTA,344.3,1.95,50.8,3,5,0.1236,1,serotoninergico,0.139,1,core_piperazina
352,NZK2b_3OH_quinuclidina_etil_sulfonamida_piperidin_imidazol,O=S(=O)(CC1CN2CCC1CC2O)Nc1cn(C2CCNCC2)cn1,0.5081,4.62,BAIXA,369.2,0.21,99.5,3,7,0.1098,1,serotoninergico,0.103,0,core_imidazol
353,NZK2a_quinuclidinona_propil_amina_sulfonamidapip,O=C1CC2CCN1CC2CCCNNS(=O)(=O)c1ccc(N2CCNCC2)cc1,0.5076,4.44,BAIXA,421.2,0.53,93.8,3,6,0.1316,1,serotoninergico,0.118,0,core_piperazina
354,NZK2a_3OH_quinuclidina_etil_carbonil_sulfonamidapip,O=C(CC1CN2CCC1CC2O)NS(=O)(=O)c1ccc(N2CCNCC2)cc1,0.5027,4.26,BAIXA,408.2,-0.05,102.0,3,7,0.136,1,serotoninergico,0.131,0,core_piperazina
355,NZK2a_quinuclidina_etil_sulfonamida_triazolpiperazina,O=S(=O)(CC1CN2CCC1CC2)Nc1nn[nH]c1N1CCNCC1,0.502,4.46,BAIXA,355.2,-0.7,106.2,3,7,0.1066,1,serotoninergico,0.072,0,core_piperazina
356,NZK2b_3OH_quinuclidina_etil_sulfonamida_benzimidazol,O=S(=O)(CC1CN2CCC1CC2O)Nc1ccc2[nH]cnc2c1,0.5003,4.72,BAIXA,336.1,0.96,98.3,3,5,0.132,0,,0.118,0,core_imidazol
357,NZK2a_quinuclidina_etil_sulfonamida_sulfonamidapip,O=S(=O)(CC1CN2CCC1CC2)NNS(=O)(=O)c1ccc(N2CCNCC2)cc1,0.5001,3.71,BAIXA,443.2,-0.45,110.9,3,7,0.1324,2,colinergico|serotoninergico,0.099,0,core_piperazina
358,NZK2a_3OH_quinuclidina_etil_carbonil_triazolpiperazina,O=C(CC1CN2CCC1CC2O)c1nn[nH]c1N1CCNCC1,0.4965,4.75,BAIXA,320.2,-0.55,97.4,3,7,0.1125,0,,0.138,0,core_piperazina
359,NZK2a_3OH_quinuclidina_etil_sulfonamida_pyrimidilpiperazina,O=S(=O)(CC1CN2CCC1CC2O)Nc1cnc(N2CCNCC2)nc1,0.4958,4.15,BAIXA,382.2,-0.71,110.7,3,8,0.1231,1,serotoninergico,0.12,0,core_piperazina
360,NZK2c_pyrimidilpiperazina_etil_sulfonamida_indazol,O=S(=O)(CC1CNCCN1c1ncccn1)Nc1ccc2[nH]ncc2c1,0.4943,4.04,BAIXA,373.1,0.57,115.9,3,7,0.1319,1,serotoninergico,0.122,0,pip_heterociclo
361,NZK2c_pyrimidilpiperazina_etil_sulfonamida_pirrolo_piridina,O=S(=O)(CC1CNCCN1c1ncccn1)Nc1cnc2[nH]ccc2c1,0.4942,4.04,BAIXA,373.1,0.57,115.9,3,7,0.1314,1,serotoninergico,0.11,0,pip_heterociclo
362,NZK2b_quinuclidina_etil_sulfonamida_tiazol_amino,O=S(=O)(CC1CN2CCC1CC2)NNc1nccs1,0.4931,5.5,ALTA,302.1,0.73,74.3,2,6,0.1122,1,colinergico,0.09,1,core_imidazol
363,NZK2a_quinuclidinona_etil_amida_sulfonamidapip,O=C(CC1CN2CCC1CC2=O)NNS(=O)(=O)c1ccc(N2CCNCC2)cc1,0.4915,3.87,BAIXA,421.2,-0.34,110.9,3,6,0.1434,1,serotoninergico,0.118,0,core_piperazina
364,NZK2a_quinuclidinona_etil_amida_triazolpiperazina,O=C(CC1CN2CCC1CC2=O)Nc1nn[nH]c1N1CCNCC1,0.4892,4.46,BAIXA,333.2,-0.59,106.2,3,6,0.1221,0,,0.095,0,core_piperazina
365,NZK2a_3OH_quinuclidina_etil_sulfonamida_benzisoxazolpip,O=S(=O)(CC1CN2CCC1CC2O)Nc1ccc2onc(N3CCNCC3)c2c1,0.4883,3.87,BAIXA,421.2,0.64,110.9,3,8,0.1306,1,serotoninergico,0.118,0,core_piperazina
366,NZK2a_quinuclidinona_etil_sulfonamida_triazolpiperazina,O=C1CC2CCN1CC2CS(=O)(=O)Nc1nn[nH]c1N1CCNCC1,0.4841,3.93,BAIXA,369.2,-1.18,123.3,3,7,0.1059,1,serotoninergico,0.087,0,core_piperazina
367,NZK2a_3OH_quinuclidina_etil_sulfonamida_indolpiperazina,O=S(=O)(CC1CN2CCC1CC2O)Nc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.4745,4.02,BAIXA,447.2,1.02,100.7,4,6,0.122,0,,0.143,0,core_piperazina
368,NZK2a_3OH_quinuclidina_propil_amina_sulfonamidapip,O=S(=O)(NNCCCC1CN2CCC1CC2O)c1ccc(N2CCNCC2)cc1,0.4727,4.32,BAIXA,423.2,0.32,96.9,4,7,0.128,1,serotoninergico,0.14,0,core_piperazina
369,NZK2b_3OH_quinuclidina_etil_amida_aminotiazol_pip,O=C(CC1CN2CCC1CC2O)NNc1nc(N2CCNCC2)cs1,0.4716,4.86,BAIXA,366.2,0.05,92.8,4,8,0.1183,0,,0.114,0,core_imidazol
370,NZK2a_3OH_quinuclidina_propil_amina_triazolpiperazina,OC1CC2CCN1CC2CCCNc1nn[nH]c1N1CCNCC1,0.467,4.92,BAIXA,335.2,0.07,92.3,4,7,0.0919,0,,0.093,0,core_piperazina
371,NZK2a_quinuclidinona_etil_sulfonamida_fenilpiperazina,O=C1CC2CCN1CC2CS(=O)(=O)Nc1ccc(N2CCNCC2)cc1,0.465,5.37,MÉDIA,378.2,0.71,81.8,2,5,0.1372,1,serotoninergico,0.122,1,core_piperazina
372,NZK2b_quinuclidina_etil_sulfonamida_aminotiazol_pip,O=S(=O)(CC1CN2CCC1CC2)NNc1nc(N2CCNCC2)cs1,0.4576,4.81,MÉDIA,386.2,0.14,89.6,3,8,0.1156,2,colinergico|serotoninergico,0.081,1,core_imidazol
373,NZK2a_3OH_quinuclidina_etil_amida_sulfonamidapip,O=C(CC1CN2CCC1CC2O)NNS(=O)(=O)c1ccc(N2CCNCC2)cc1,0.4548,3.75,BAIXA,423.2,-0.54,114.0,4,7,0.1326,1,serotoninergico,0.128,0,core_piperazina
374,NZK2a_3OH_quinuclidina_etil_sulfonamida_triazolpiperazina,O=S(=O)(CC1CN2CCC1CC2O)Nc1nn[nH]c1N1CCNCC1,0.4531,3.92,BAIXA,371.2,-1.38,126.5,4,8,0.1029,1,serotoninergico,0.092,0,core_piperazina
375,NZK2a_3OH_quinuclidina_etil_amida_triazolpiperazina,O=C(CC1CN2CCC1CC2O)Nc1nn[nH]c1N1CCNCC1,0.453,4.35,BAIXA,335.2,-0.8,109.4,4,7,0.112,0,,0.106,0,core_piperazina
376,NZK2a_3OH_quinuclidina_etil_sulfonamida_fenilpiperazina,O=S(=O)(CC1CN2CCC1CC2O)Nc1ccc(N2CCNCC2)cc1,0.4469,4.86,MÉDIA,380.2,0.5,84.9,3,6,0.133,1,serotoninergico,0.123,1,core_piperazina
377,NZK2a_quinuclidinona_etil_sulfonamida_sulfonamidapip,O=C1CC2CCN1CC2CS(=O)(=O)NNS(=O)(=O)c1ccc(N2CCNCC2)cc1,0.4395,3.31,BAIXA,457.1,-0.92,127.9,3,7,0.1302,1,serotoninergico,0.101,0,core_piperazina
378,NZK2a_3OH_quinuclidina_etil_sulfonamida_sulfonamidapip,O=S(=O)(CC1CN2CCC1CC2O)NNS(=O)(=O)c1ccc(N2CCNCC2)cc1,0.4084,3.29,BAIXA,459.2,-1.13,131.1,4,8,0.1281,1,serotoninergico,0.119,0,core_piperazina
379,NZK2b_3OH_quinuclidina_etil_sulfonamida_tiazol_amino,O=S(=O)(CC1CN2CCC1CC2O)NNc1nccs1,0.3937,4.85,BAIXA,318.1,0.05,94.6,3,7,0.1081,0,,0.11,1,core_imidazol
380,NZK2b_3OH_quinuclidina_etil_sulfonamida_aminotiazol_pip,O=S(=O)(CC1CN2CCC1CC2O)NNc1nc(N2CCNCC2)cs1,0.3542,4.04,BAIXA,402.2,-0.54,109.8,4,9,0.1113,1,serotoninergico,0.1,1,core_imidazol
